Country	Freedom in the World 2020	2020 Index of Economic Freedom	2020 Press Freedom Index	2019 Democracy Index
 Saudi Arabia 	not free 	moderately free 	very serious situation 	authoritarian regime
 Senegal 	partly free 	mostly unfree 	satisfactory situation 	hybrid regime
 Serbia 	partly free 	moderately free 	noticeable problems 	flawed democracy
 Seychelles 	partly free 	moderately free 	noticeable problems 	NA
 Sierra Leone 	partly free 	repressed 	noticeable problems 	hybrid regime
 Singapore 	partly free 	free 	very serious situation 	flawed democracy
 Slovakia 	free 	moderately free 	satisfactory situation 	flawed democracy
 Slovenia 	free 	moderately free 	satisfactory situation 	flawed democracy
 Solomon Islands 	free 	mostly unfree 	NA 	NA
 Somalia 	not free 	NA 	very serious situation 	NA
 Somaliland 	partly free 	NA 	NA 	NA
 South Africa 	free 	mostly unfree 	satisfactory situation 	flawed democracy
 South Sudan 	not free 	NA 	difficult situation 	NA
 Spain 	free 	moderately free 	satisfactory situation 	full democracy
 Sri Lanka 	partly free 	mostly unfree 	difficult situation 	flawed democracy
 Sudan 	not free 	repressed 	very serious situation 	authoritarian regime
 Suriname 	free 	repressed 	satisfactory situation 	flawed democracy
 Sweden 	free 	mostly free 	good situation 	full democracy
  Switzerland 	free 	free 	good situation 	full democracy
 Syria 	not free 	NA 	very serious situation 	authoritarian regime
 Taiwan 	free 	mostly free 	satisfactory situation 	flawed democracy
 Tajikistan 	not free 	mostly unfree 	very serious situation 	authoritarian regime
 Tanzania 	partly free 	moderately free 	difficult situation 	hybrid regime
 Thailand 	partly free 	moderately free 	difficult situation 	flawed democracy
 Togo 	partly free 	mostly unfree 	noticeable problems 	authoritarian regime
 Tonga 	free 	mostly unfree 	noticeable problems 	NA
 Transnistria 	not free 	NA 	NA 	NA
 Trinidad and Tobago 	free 	mostly unfree 	satisfactory situation 	flawed democracy
 Tunisia 	free 	mostly unfree 	noticeable problems 	flawed democracy
 Turkey 	not free 	moderately free 	difficult situation 	hybrid regime
 Turkmenistan 	not free 	repressed 	very serious situation 	authoritarian regime
 Tuvalu 	free 	NA 	NA 	NA
 Uganda 	not free 	mostly unfree 	difficult situation 	hybrid regime
 Ukraine 	partly free 	mostly unfree 	noticeable problems 	hybrid regime
 United Arab Emirates 	not free 	mostly free 	difficult situation 	authoritarian regime
 United Kingdom 	free 	mostly free 	satisfactory situation 	full democracy
 United States of America	free 	mostly free 	satisfactory situation 	flawed democracy
 Uruguay 	free 	moderately free 	satisfactory situation 	full democracy
 Uzbekistan 	not free 	mostly unfree 	difficult situation 	authoritarian regime
 Vanuatu 	free 	moderately free 	NA 	NA
 Venezuela 	not free 	repressed 	difficult situation 	authoritarian regime
 Vietnam 	not free 	mostly unfree 	very serious situation 	authoritarian regime
 West Bank 	not free 	NA 	difficult situation 	NA
 Western Sahara 	not free 	NA 	NA 	NA
 Yemen 	not free 	NA 	very serious situation 	authoritarian regime
 Zambia 	partly free 	mostly unfree 	difficult situation 	hybrid regime
 Zimbabwe 	partly free 	repressed 	difficult situation 	authoritarian regime
